Plan_Size,Storeys,Soil_Profile,Roof_Displacement_mm,Storey_Drift_mm,Beam_Bending_Moment_kNm,Column_Axial_Force_kN,Base_Shear_kN,Bay_Number,Height_m,Aspect_Ratio
4x4,12.0,HBLD1,387.98,31.29,54.17,100.26,745.65,4.0,36.0,9.0
4x4,12.0,HBLD2,107.25,10.35,36.8,97.65,745.65,4.0,36.0,9.0
6x6,4.0,FBLS,26.11,6.81,26.6,68.27,1315.18,6.0,12.0,2.0
6x6,4.0,SFLD1,44.65,9.61,49.69,59.44,864.58,6.0,12.0,2.0
6x6,4.0,SFLD2,44.65,9.61,49.69,59.44,864.58,6.0,12.0,2.0
6x6,4.0,MHMD1,44.65,9.61,49.69,59.44,864.58,6.0,12.0,2.0
6x6,4.0,MHMD2,41.33,8.7,48.51,59.42,913.92,6.0,12.0,2.0
6x6,4.0,HBLD1,41.33,8.7,48.51,59.42,913.92,6.0,12.0,2.0
6x6,4.0,HBLD2,27.17,6.86,27.35,78.45,1262.07,6.0,12.0,2.0
4x4,4.0,FBLS,22.439529294254687,6.717893787768903,29.03774781274448,76.37408217781358,693.068457132822,4.0,12.0,3.0
4x4,4.0,SFLD1,48.923604086347126,10.19009301190185,46.145205254268625,80.06409165991084,423.76961384520575,4.0,12.0,3.0
4x4,4.0,SFLD2,58.45987360631387,10.507495510585114,46.08309382236082,79.94511996721091,398.83218203439014,3.0,12.0,4.0
4x4,5.0,MHMD1,54.51221389406722,10.220035065867966,46.116809601195826,79.74683115822212,408.9478942405252,4.0,15.0,3.75
4x4,4.0,MHMD2,42.57516676031757,8.67092782231957,45.294730013564426,80.17341641974481,432.40070156922786,4.0,12.0,3.0
4x4,4.0,HBLD1,49.59385099408785,9.442678262789302,45.48605912781554,80.8773227853286,413.1044049568069,5.0,12.0,2.4
4x4,5.0,HBLD2,30.02324890824564,6.79368824766715,29.16657152238745,93.47359792480621,643.1271596295695,4.0,15.0,3.75
4x4,6.0,FBLS,44.52815261914614,7.495722089029894,29.378392933113076,77.80482204819184,658.1899965597645,3.0,18.0,6.0
4x4,6.0,SFLD1,99.19578291596922,14.891787002005879,44.44594768330891,89.33196028905301,487.61170924977677,4.0,18.0,4.5
4x4,6.0,SFLD2,101.71511389630341,16.068724711648457,45.10491557158142,89.7036489147999,496.0882972739041,4.0,18.0,4.5
4x4,6.0,MHMD1,101.28144737204404,14.95668835490348,44.31893338566269,91.16670504465868,464.9951949678998,4.0,18.0,4.5
4x4,6.0,MHMD2,79.35179566759655,13.256500084182976,44.83433466309806,89.13645429952567,486.6593234922532,4.0,18.0,4.5
4x4,6.0,HBLD1,91.19263628924452,13.797735938938438,43.8762099820684,90.80967940744077,494.20181514718075,5.0,18.0,3.6
4x4,5.0,HBLD2,42.33667878606912,6.883349439632731,29.387895394049174,94.09325049376517,602.8762236574945,4.0,15.0,3.75
4x4,7.0,FBLS,48.88440919132675,7.318411216667012,28.19012287318153,79.62076154389082,641.10249769898,4.0,21.0,5.25
4x4,8.0,SFLD1,184.57142915849283,22.0930061421404,47.140705814053625,95.5535466489894,565.6941551953327,4.0,24.0,6.0
4x4,7.0,SFLD2,176.62576501243933,20.703846551772276,46.817777501080194,94.88212017730675,575.3697304266544,4.0,21.0,5.25
4x4,8.0,MHMD1,183.31941661897596,21.557999591120293,47.24661776156437,94.13379608505755,580.9476429281618,4.0,24.0,6.0
4x4,8.0,MHMD2,156.10382431607948,18.68386449492447,46.32648138188307,94.86128951288188,593.7546297572511,4.0,24.0,6.0
4x4,7.0,HBLD1,153.01135990505517,18.93262988268676,46.076684593881964,95.77531377067385,565.6382497863284,4.0,21.0,5.25
4x4,9.0,HBLD2,51.71468505572068,6.910448562043227,29.342636306290004,95.98141937012863,598.2568454972707,3.0,27.0,9.0
4x4,10.0,FBLS,68.25891681302667,7.240648249637415,28.517036880600415,81.83183683049656,662.7600010732438,3.0,30.0,10.0
4x4,10.0,SFLD1,316.2224184735713,28.898766097009972,50.725742838617215,97.99986144067711,653.0683520742226,4.0,30.0,7.5
4x4,9.0,SFLD2,304.70475942071266,28.791547872211865,51.321757512106544,97.54303182916719,667.175837762285,5.0,27.0,5.4
4x4,10.0,MHMD1,305.2630939304483,28.769389090301317,51.02793665417789,99.37484253814551,664.6052813932048,4.0,30.0,7.5
4x4,10.0,MHMD2,256.139042636282,24.735123022518415,49.71013987418282,98.74538229132281,656.7944694632391,5.0,30.0,6.0
4x4,9.0,HBLD1,243.7283102222382,24.245888821658742,50.359221186561065,97.00300343058763,663.3421305375093,4.0,27.0,6.75
4x4,10.0,HBLD2,76.7315842869244,8.99069600423678,32.15626248314984,97.38217620511331,658.8945799416368,4.0,30.0,7.5
4x4,12.0,FBLS,90.15529781758624,9.149683252161383,29.965681600023085,82.90635726579599,746.7593314439524,4.0,36.0,9.0
4x4,12.0,SFLD1,477.7355134068821,36.379528142875685,54.790321169824985,100.53856615646718,752.1205739517247,5.0,36.0,7.2
4x4,12.0,SFLD2,459.86557517081695,37.60925939916203,54.7466274344061,99.46069221988755,761.149114438356,4.0,36.0,9.0
4x4,13.0,MHMD1,463.1891557985006,36.94583671072593,54.19715106179765,99.90481770655742,733.5536313646943,5.0,39.0,7.8
4x4,12.0,MHMD2,387.7464194675751,30.722204789049208,54.33366894381716,100.5908983728943,766.4947527403772,3.0,36.0,12.0
4x4,11.0,HBLD1,380.1157959971924,31.602924452576616,54.4265294957607,100.82729544881619,726.573511093627,4.0,33.0,8.25
4x4,12.0,HBLD2,114.94022045688071,9.885450381992412,37.29543911472391,96.86349280542768,744.1667026389349,4.0,36.0,9.0
6x6,3.0,FBLS,31.169866426123207,7.185137712318866,27.082059144518173,68.0508144496345,1320.929242767501,6.0,9.0,1.5
6x6,4.0,SFLD1,49.97296869115108,10.16220606901086,49.05978855216322,59.12878695123918,867.3259514110686,6.0,12.0,2.0
6x6,3.0,SFLD2,38.53059993266676,9.218849053858834,49.26099425307037,59.011898958604675,858.4947611676242,5.0,9.0,1.8
6x6,3.0,MHMD1,54.08960635869409,10.069161207713796,49.925601610215,60.596832973511326,862.5461561323824,6.0,9.0,1.5
6x6,4.0,MHMD2,31.89674089486033,8.896738307271589,48.74503011356253,59.68536864350224,909.1022213820755,6.0,12.0,2.0
6x6,4.0,HBLD1,45.27904649319904,9.091807648558355,48.74560729130041,58.593792160189956,908.1605202007801,7.0,12.0,1.7142857142857142
6x6,4.0,HBLD2,41.90989357715253,7.764043322499186,29.112422499421854,79.05143896185902,1270.372610662603,6.0,12.0,2.0
4x4,4.0,FBLS,42.61550151404209,8.172186995566033,28.8299122955501,75.57365942387132,677.9693518954575,4.0,12.0,3.0
4x4,4.0,SFLD1,46.860843614294076,11.296624861981785,46.587884581372215,79.00080582701274,411.69576903698345,4.0,12.0,3.0
4x4,4.0,SFLD2,46.649389943209535,10.341339514626798,46.43861581125716,78.93182747803297,417.30696807886704,4.0,12.0,3.0
4x4,4.0,MHMD1,48.26659996182034,10.923066997071823,46.3889180027598,78.75386070940252,407.7776442161995,4.0,12.0,3.0
4x4,4.0,MHMD2,31.847997652899437,9.717596992955803,45.61094903918888,80.41179432117487,420.8661858736764,4.0,12.0,3.0
4x4,4.0,HBLD1,42.60211821142812,10.062312736215196,45.67652002998683,79.83551095458905,418.49866727374746,4.0,12.0,3.0
4x4,4.0,HBLD2,24.261686227104267,6.840101308240975,28.797323561014885,94.15721975842519,650.2019772429109,4.0,12.0,3.0
4x4,6.0,FBLS,39.02202160007445,7.5969836228699075,28.736593368795283,77.9270809357662,653.1062900100973,4.0,18.0,4.5
4x4,6.0,SFLD1,106.21972552420391,15.834462847794375,44.31417828085345,89.49342670953217,499.9691720144017,4.0,18.0,4.5
4x4,6.0,SFLD2,116.54502566897384,14.491755287342002,43.38699185176387,89.0553091007087,492.64499334971117,4.0,18.0,4.5
4x4,6.0,MHMD1,110.31553984247957,14.766039163499492,43.74687959297993,89.2720643513982,491.90494039229554,3.0,18.0,6.0
4x4,6.0,MHMD2,85.31793163552918,12.438067770078929,44.21527325578446,90.85497826564864,492.44288917367334,3.0,18.0,6.0
4x4,7.0,HBLD1,83.15443738380662,13.281596187911624,44.3424864154508,90.68823140154014,500.52472514095695,4.0,21.0,5.25
4x4,6.0,HBLD2,43.89019544570128,7.811992663878222,29.666079079129783,94.50944635957723,610.9559915111978,4.0,18.0,4.5
4x4,8.0,FBLS,39.96595928298654,7.926048547932005,28.94374455794612,79.99508856680258,627.9817818718412,4.0,24.0,6.0
4x4,8.0,SFLD1,198.47415164295055,21.505314814048297,47.06238061402583,95.33235453423586,599.9515469269987,5.0,24.0,4.8
4x4,8.0,SFLD2,194.0866236207717,22.24622546179606,48.32842641721122,93.7461041451589,588.1829371461401,4.0,24.0,6.0
4x4,9.0,MHMD1,182.99284899473494,20.812220516903825,47.43214677651082,95.19604263916717,576.483983317688,4.0,27.0,6.75
4x4,8.0,MHMD2,146.88206930621683,17.748139383662856,46.05148441389066,94.895808619736,591.4086851482533,4.0,24.0,6.0
4x4,8.0,HBLD1,167.52040355125467,18.53352503582261,45.67289038680568,95.70389094512306,575.6821438552539,3.0,24.0,8.0
4x4,9.0,HBLD2,52.029244770141,7.683052029236434,28.99513510069339,95.95986618770574,566.9727298369277,4.0,27.0,6.75
4x4,10.0,FBLS,73.86944547772137,7.854417135150984,29.30307393742242,80.50733149480178,652.8086258294394,4.0,30.0,7.5
4x4,10.0,SFLD1,292.80086505191946,27.66462244837093,50.58400922068488,96.9035352256808,644.3779630258887,4.0,30.0,7.5
4x4,10.0,SFLD2,299.4967185461129,28.607523895670642,50.27939355525781,98.00150818104386,659.2248865382004,4.0,30.0,7.5
4x4,10.0,MHMD1,303.5652856158718,28.028267975409094,50.63422683193231,98.14018597656002,662.8399908827711,4.0,30.0,7.5
4x4,10.0,MHMD2,256.9561392288089,24.889177159324856,49.785248538498365,97.7374367567586,679.0427353450351,5.0,30.0,6.0
4x4,10.0,HBLD1,253.61144417161978,24.744726867641642,51.0517787716522,98.74844461107737,665.8548493404483,4.0,30.0,7.5
4x4,10.0,HBLD2,81.10124752364885,8.432037543078456,32.38330392808363,96.17127102004225,660.518872532155,4.0,30.0,7.5
4x4,12.0,FBLS,82.56582729890988,8.765082415677497,30.36635293493193,83.29670049768833,753.7552432027908,4.0,36.0,9.0
4x4,13.0,SFLD1,460.20190779669065,36.215161084883,55.39699678905576,99.18646854538777,724.0420076734785,4.0,39.0,9.75
4x4,11.0,SFLD2,461.9694867516771,36.69012609184646,54.75539194113867,99.55287734475024,747.9525083733618,4.0,33.0,8.25
4x4,11.0,MHMD1,464.62173352093197,37.17523683648246,54.326007670532064,100.01105849170621,753.1831659380745,4.0,33.0,8.25
4x4,13.0,MHMD2,392.7685597166891,30.82018644725461,54.86674934516005,99.69620484230062,731.2007348995089,4.0,39.0,9.75
4x4,12.0,HBLD1,380.4121202626752,31.530237016242708,54.41652306771393,100.00801582303214,756.8271669912558,4.0,36.0,9.0
4x4,12.0,HBLD2,96.92672326003726,10.09727033288409,36.325514309975155,98.30938424012693,748.9579060091426,4.0,36.0,9.0
6x6,4.0,FBLS,34.70767262978202,6.432103520967864,26.512930042080935,67.89198536694515,1311.1216603677267,6.0,12.0,2.0
6x6,4.0,SFLD1,46.886189180488195,9.558987536802135,49.289450593841536,59.987596289318915,870.7637670682043,7.0,12.0,1.7142857142857142
6x6,4.0,SFLD2,39.61332554616554,9.116586160266003,49.05744168028385,58.699747372629936,886.7700096513496,6.0,12.0,2.0
6x6,4.0,MHMD1,55.08792659928338,9.346121462867753,50.11367763032241,59.787159914164,866.3572610422111,7.0,12.0,1.7142857142857142
6x6,4.0,MHMD2,42.108391389883685,8.12907132203266,49.38345792357909,60.36460342041535,916.3456989168468,6.0,12.0,2.0
6x6,4.0,HBLD1,49.265661779274225,9.636420923739486,47.87022871953586,57.80042822560504,909.430963643006,6.0,12.0,2.0
6x6,4.0,HBLD2,27.624341653284098,6.8768071998258025,27.60752888609873,77.92782577031495,1253.765021765822,6.0,12.0,2.0
4x4,4.0,FBLS,25.57400548112588,7.172062670131865,29.375667054656923,76.01855592204916,671.846623223257,3.0,12.0,4.0
4x4,4.0,SFLD1,49.800520544460326,10.985852166398379,46.57455282801201,79.33949803203485,420.2745735428854,5.0,12.0,2.4
4x4,4.0,SFLD2,42.828649681699574,10.514442811609948,46.097346354653936,79.93482060565438,402.70836532531337,4.0,12.0,3.0
4x4,4.0,MHMD1,47.06595870624709,10.531636338310024,46.81035502371022,78.98185611397466,417.4170426076908,4.0,12.0,3.0
4x4,4.0,MHMD2,38.66677407447167,9.23669632614775,45.066675898919875,80.44298417804765,421.6466295523154,3.0,12.0,4.0
4x4,4.0,HBLD1,57.931281937018646,9.382858761424481,45.38581308819544,80.07708912040205,424.8324070428998,3.0,12.0,4.0
4x4,5.0,HBLD2,35.66631560435505,7.446703481278679,30.211104345478322,93.6952916505613,641.6158577451935,4.0,15.0,3.75
4x4,6.0,FBLS,46.5664786416385,6.454905084598547,28.95605763625688,77.75741162429557,674.6140569744267,4.0,18.0,4.5
4x4,6.0,SFLD1,108.77623597952041,14.687432234570968,44.96573224299289,89.79555555487828,490.4377804565468,3.0,18.0,6.0
4x4,6.0,SFLD2,96.32244689061726,15.684252123030568,44.11833368203547,89.33629479092292,491.480910900684,3.0,18.0,6.0
4x4,6.0,MHMD1,100.39042705959191,15.411437331220686,44.423994601486704,90.47284777458802,490.5804514959004,4.0,18.0,4.5
4x4,6.0,MHMD2,92.49307239410427,13.322310458652142,44.400048374719255,89.77379889552574,491.2416821220866,5.0,18.0,3.6
4x4,6.0,HBLD1,80.9761247347411,13.418785921419769,43.303195468793575,90.23755033529177,490.44122869877987,4.0,18.0,4.5
4x4,6.0,HBLD2,45.37786983930873,7.635663265642957,30.60910011388197,94.86186147106957,626.6894879506525,3.0,18.0,6.0
4x4,8.0,FBLS,47.23281554257561,6.952741490926847,29.00375937385767,80.87814789892008,639.0316673793375,4.0,24.0,6.0
4x4,9.0,SFLD1,183.62777642756836,21.0990469248336,46.662700963350844,94.96879464184444,574.0924663748584,4.0,27.0,6.75
4x4,8.0,SFLD2,190.93415273309185,21.563343130606945,47.209293357407205,95.51612728756135,571.535928438073,3.0,24.0,8.0
4x4,9.0,MHMD1,189.13951225232702,21.00369113835486,47.36489262957791,93.86657050833709,584.2768387056651,4.0,27.0,6.75
4x4,8.0,MHMD2,155.981006321044,18.75458010498286,46.39444543058203,95.5049875732227,574.2734820868988,4.0,24.0,6.0
4x4,7.0,HBLD1,166.2112983787751,17.74852012186686,45.39170458226949,95.91294019473676,585.8552324484876,4.0,21.0,5.25
4x4,7.0,HBLD2,45.52536808724779,7.9905128236160206,29.397372895840704,96.51391747336974,588.8730351673037,5.0,21.0,4.2
4x4,11.0,FBLS,69.68472002525967,8.095247880033615,29.096773211841963,82.3881675324015,647.8476151258577,5.0,33.0,6.6
4x4,10.0,SFLD1,307.5210643794469,28.772028061989054,50.89595061180016,97.6310411517676,677.7827653863461,4.0,30.0,7.5
4x4,10.0,SFLD2,301.4470171178484,29.11836699114791,51.213924917202256,98.89349014363627,680.2099485814058,3.0,30.0,10.0
4x4,10.0,MHMD1,305.724596404146,29.443793030698977,51.011288883737215,99.47637784399477,656.6716132794663,5.0,30.0,6.0
4x4,9.0,MHMD2,248.22107530161404,25.053465772073668,49.66915002304851,98.09224611139672,658.8712439261639,4.0,27.0,6.75
4x4,11.0,HBLD1,262.8579118193672,23.692608491482478,50.45392056738708,98.03807965747286,665.4535771926926,4.0,33.0,8.25
4x4,10.0,HBLD2,75.66576670842167,8.27013217415924,32.25931094028346,98.2123458880767,665.9284294453402,4.0,30.0,7.5
4x4,12.0,FBLS,86.23252098696166,8.712200994992678,30.626074757036196,84.37503172188161,752.085526370828,4.0,36.0,9.0
4x4,12.0,SFLD1,468.2189352133392,36.73243543177131,55.214400472049306,99.63739031568124,765.294426133239,4.0,36.0,9.0
4x4,12.0,SFLD2,456.4203691588137,36.9667249642245,55.101475628786574,99.70466804635284,743.9208094261286,4.0,36.0,9.0
4x4,12.0,MHMD1,451.68225967450934,36.37409833644129,54.93005079250435,99.79535758927067,737.8487584097646,4.0,36.0,9.0
4x4,12.0,MHMD2,377.5052165410341,31.37901616983738,54.13790286868872,99.37903427065265,732.1708071286536,4.0,36.0,9.0
4x4,12.0,HBLD1,392.0579288492672,30.929971835530317,53.41019752557637,99.65804338247585,738.5070944392472,4.0,36.0,9.0
4x4,13.0,HBLD2,98.6338051926395,10.05854036711443,36.9965277926576,96.9920259089577,745.3262715638696,4.0,39.0,9.75
6x6,5.0,FBLS,37.91826453979935,6.139561748037623,26.695006219249127,67.76689234644068,1332.7170509377784,6.0,15.0,2.5
6x6,5.0,SFLD1,30.64039508230039,9.169971563112808,49.81423306794178,59.41727235263534,859.5217202411224,6.0,15.0,2.5
6x6,4.0,SFLD2,56.06570093100214,8.965764465069547,49.1059545191279,59.593471735091384,866.7669346132196,7.0,12.0,1.7142857142857142
6x6,4.0,MHMD1,46.069967139638685,9.144882453684893,49.19547335712749,60.45598220707623,864.4195096804463,5.0,12.0,2.4
6x6,4.0,MHMD2,40.67920344439404,9.20218333747555,48.99176217017626,58.765817723725874,925.533397257483,7.0,12.0,1.7142857142857142
6x6,4.0,HBLD1,37.66316043790981,8.247500579301091,48.491905592618075,60.06498789101561,938.6140728798795,7.0,12.0,1.7142857142857142
6x6,5.0,HBLD2,29.855844798235633,8.114637406267246,27.661750809869464,78.30978149684343,1256.882163541091,5.0,15.0,3.0
4x4,4.0,FBLS,23.328458105572352,7.690234412807527,28.863837888102562,76.476787123322,669.9440154425029,5.0,12.0,2.4
4x4,5.0,SFLD1,64.41878935464875,10.204897928554786,46.67105934825015,79.35403810315161,423.10139906572243,3.0,15.0,5.0
4x4,4.0,SFLD2,52.029771326202834,11.087892088924947,46.71599288785379,79.80007032960758,425.3039241861864,4.0,12.0,3.0
4x4,5.0,MHMD1,42.672106839525135,10.554179283023652,46.60924456999182,79.26710958842874,401.68338444174185,4.0,15.0,3.75
4x4,4.0,MHMD2,47.002033186292095,10.399104109672356,45.07826426730295,80.43152655841224,425.85800370451824,5.0,12.0,2.4
4x4,4.0,HBLD1,41.557104627257154,9.08152153630393,45.022767550071244,79.0706574031669,426.8721067768657,4.0,12.0,3.0
4x4,4.0,HBLD2,35.026812355571785,8.12738944033628,29.0283103533749,94.58043361331643,635.8821047341329,4.0,12.0,3.0
4x4,7.0,FBLS,33.61839859640711,7.364327596040369,29.53646199177934,78.18704031898139,664.0638910836799,5.0,21.0,4.2
4x4,6.0,SFLD1,100.91756697009441,15.019523262839467,44.68866854735927,90.30395691184808,495.20360399974555,3.0,18.0,6.0
4x4,6.0,SFLD2,91.20500639060731,15.099371902400923,44.270463389659746,87.75219735818783,497.89717729301805,3.0,18.0,6.0
4x4,7.0,MHMD1,100.87636518199739,15.177317104448345,44.793011668142576,91.01843009828036,494.9786812300325,4.0,21.0,5.25
4x4,7.0,MHMD2,72.88936448773771,13.612164598342021,42.28694121759122,90.26853238734503,496.8222439351511,4.0,21.0,5.25
4x4,7.0,HBLD1,78.54168819507679,13.65919215541527,44.11550003077319,91.08614876887236,485.95681407741756,3.0,21.0,7.0
4x4,6.0,HBLD2,45.69694050041729,7.196564963904101,28.98417223112746,94.46859040104198,600.99731602895,4.0,18.0,4.5
4x4,8.0,FBLS,54.137763228319166,7.198392193187616,28.51420228702936,80.33152672468634,640.7320645757876,4.0,24.0,6.0
4x4,8.0,SFLD1,189.0129656352825,22.491041953656534,46.407809773662926,94.14973806599754,571.3931956629852,4.0,24.0,6.0
4x4,9.0,SFLD2,179.643077297058,22.29337602550249,46.32775115838466,94.43126864626585,569.9817650953546,3.0,27.0,9.0
4x4,8.0,MHMD1,185.82894336517575,21.6779591729959,47.45101734521858,96.0941897331392,558.6263140431988,4.0,24.0,6.0
4x4,8.0,MHMD2,158.38575799200092,18.57811309456746,45.8960512412562,95.20505329583834,573.4258409542966,4.0,24.0,6.0
4x4,8.0,HBLD1,150.6151960144521,18.617208941831137,46.2685073444076,95.47247524035488,566.740300950476,4.0,24.0,6.0
4x4,8.0,HBLD2,62.91658520310149,7.792412947302305,29.70853629714317,97.03012128498366,602.9363499613592,5.0,24.0,4.8
4x4,11.0,FBLS,71.44389809285005,7.382519923193893,29.42822114753654,82.01480091485563,672.5282879463837,3.0,33.0,11.0
4x4,10.0,SFLD1,302.0431000289456,28.527330029078882,50.9651419842211,98.06856361345388,655.9351526704328,3.0,30.0,10.0
4x4,10.0,SFLD2,303.71091870971605,27.854724867809818,50.34309837761132,98.20914464168239,684.6715953101486,4.0,30.0,7.5
4x4,9.0,MHMD1,304.93223813541954,28.840276430522003,51.38573979455358,99.5448640404364,672.2541578169978,4.0,27.0,6.75
4x4,10.0,MHMD2,242.90086996754056,24.878464430745733,50.05413227121798,98.2922446604496,659.4856334138967,4.0,30.0,7.5
4x4,10.0,HBLD1,254.97670754609078,24.33970523469959,49.56794545712696,98.46177232401364,638.2349278265178,4.0,30.0,7.5
4x4,11.0,HBLD2,72.32082909037939,9.630188468677009,31.78415977758634,97.94845264937183,685.0478969900099,4.0,33.0,8.25
4x4,12.0,FBLS,83.00995369336084,8.425779543302841,31.056518857505967,84.06440781705791,732.0706088715368,3.0,36.0,12.0
4x4,12.0,SFLD1,459.26843536256837,36.0220543917044,55.108931834837996,100.75781443817588,729.5705844375642,5.0,36.0,7.2
4x4,12.0,SFLD2,473.25689334886425,36.826977498149546,54.56050994271406,100.3985348819372,755.64291809876,4.0,36.0,9.0
4x4,13.0,MHMD1,465.4723245517748,37.21906459857958,54.56023292625497,99.2310336763407,769.492119050799,5.0,39.0,7.8
4x4,12.0,MHMD2,384.1364537424534,32.09258815746141,54.02286884065417,101.33032366709102,759.1776011008158,4.0,36.0,9.0
4x4,12.0,HBLD1,391.83299257462886,31.071288070210922,55.12000323296203,99.50884479052503,751.1607183578078,4.0,36.0,9.0
4x4,12.0,HBLD2,116.66646567446915,10.864117362036513,36.97471542877371,97.84830515974559,751.4621487176807,4.0,36.0,9.0
6x6,4.0,FBLS,32.33199414742544,6.791646218100687,26.796721488776573,67.77575259640444,1323.519877152852,6.0,12.0,2.0
6x6,4.0,SFLD1,45.05126140709405,9.527722935913541,50.16130061998149,59.397972655131824,871.9965172423791,6.0,12.0,2.0
6x6,4.0,SFLD2,40.29666860073915,10.031167134816746,49.79923351069421,59.65542512290184,867.3279015448134,7.0,12.0,1.7142857142857142
6x6,5.0,MHMD1,49.34844593722161,9.920908015653858,49.571501810546536,59.65057278893248,865.5982898556388,6.0,15.0,2.5
6x6,3.0,MHMD2,43.97782022376589,7.948665080378094,48.42018024676133,59.69646813469968,913.308317927973,6.0,9.0,1.5
6x6,4.0,HBLD1,47.353885003065535,9.403743874939167,48.477246180824075,60.477401751447616,906.5519927214178,6.0,12.0,2.0
6x6,4.0,HBLD2,31.44416316938102,7.517774667328305,27.33297277989321,78.7471832532608,1259.3271443807732,7.0,12.0,1.7142857142857142
4x4,3.0,FBLS,31.637062765782893,7.106611247936368,29.584371192692814,76.85298005023223,670.1678317323324,4.0,9.0,2.25
4x4,4.0,SFLD1,52.81145130150468,10.099799192005323,45.810737093854115,80.34319708982835,410.9748830243398,5.0,12.0,2.4
4x4,4.0,SFLD2,55.92536720632092,10.715709582421729,45.321715088160666,79.34097106460406,416.6840864257922,3.0,12.0,4.0
4x4,3.0,MHMD1,46.104653871376,10.03177510311061,46.91740233447883,78.82631479685908,421.6516710945727,4.0,9.0,2.25
4x4,4.0,MHMD2,47.27965354651161,9.423431611869532,44.70472471727885,80.68140171844041,428.42884972435047,4.0,12.0,3.0
4x4,5.0,HBLD1,36.62691012622009,9.405653733380777,45.227181622350756,79.93591967863192,414.32196208841754,4.0,15.0,3.75
4x4,4.0,HBLD2,28.621543702612353,7.8175560244049125,28.504734687845282,95.29929375638486,637.1568278036262,4.0,12.0,3.0
4x4,5.0,FBLS,31.927474391274536,7.496249132911084,28.175688501933635,78.04946625148474,653.3814707145714,4.0,15.0,3.75
4x4,6.0,SFLD1,98.97051234599957,15.318071732053568,44.68769078693939,89.41061910478922,494.23970280183386,4.0,18.0,4.5
4x4,6.0,SFLD2,112.23785024054487,15.719761122546165,44.78727365203491,89.77101376660359,512.3775465853296,4.0,18.0,4.5
4x4,6.0,MHMD1,111.26358406885366,15.992596215333192,44.17627674187624,88.76728093787139,501.4679799989146,4.0,18.0,4.5
